date,IAK,IBB,IGV,IYT,KBE,VOX,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,XRT
2001-01-02,,,,,,,6.1026,,8.5208,14.1674,18.9715,10.9896,15.3109,6.8648,17.7123,9.5595,
2001-01-03,,,,,,,6.1389,,8.2607,14.9318,19.7955,12.7591,14.6065,6.7204,19.1098,10.3138,
2001-01-04,,,,,,,6.3433,,8.0045,14.6693,19.9543,12.8871,14.0293,6.6154,19.6709,10.4599,
2001-01-05,,,,,,,6.2116,,8.1766,14.3605,19.3786,12.1072,14.1227,6.5498,19.1416,10.115,
2001-01-08,,,,,,,6.2297,,8.1486,14.2138,19.2197,12.0722,14.2161,6.6483,18.8663,9.9805,
2001-01-09,,,,,,,5.9755,,7.9845,13.9744,19.2793,12.34,14.3688,6.6778,19.0992,9.8986,
2001-01-10,,,,,,,6.03,,8.0365,14.206,19.458,12.7125,14.284,6.6614,19.2474,9.963,
2001-01-11,,,,,,,5.8665,,8.1246,14.2369,19.6962,13.248,14.0039,6.5072,19.6815,10.0507,
2001-01-12,,,,,,,5.7303,,8.0726,13.9667,19.6367,13.0501,13.9869,6.5564,19.9462,10.0448,
2001-01-16,,,,,,,5.921,,8.0686,14.2138,19.8253,12.8988,14.1821,6.4514,20.1579,10.2787,
2001-01-17,,,,,,,5.8892,,8.0285,14.2369,19.7955,13.2946,14.0209,6.4678,20.3061,10.1384,
2001-01-18,,,,,,,5.8574,,7.8764,14.0285,19.9246,13.9931,14.1312,6.5826,20.2426,9.9863,
2001-01-19,,,,,,,5.6939,,7.8404,13.9281,19.7161,14.1852,14.0209,6.5629,19.745,9.5888,
2001-01-22,,,,,,,5.7393,,7.9245,14.1752,19.6764,13.9232,14.1057,6.5498,19.6074,9.9513,
2001-01-23,,,,,,,5.7575,,8.0485,14.3141,19.9345,14.1561,14.1991,6.5432,20.0626,10.0682,
2001-01-24,,,,,,,5.7802,,8.0405,14.3991,19.8253,14.3307,14.1482,6.5531,19.8721,10.0799,
2001-01-25,,,,,,,5.8574,,8.2807,14.5303,19.8154,13.8301,14.4452,6.599,19.8403,10.2378,
2001-01-26,,,,,,,5.7984,,8.1406,14.5843,19.4877,13.9232,14.3009,6.5367,19.6392,10.1267,
2001-01-29,,,,,,,5.78,,8.0737,14.5964,19.5691,14.2157,14.1825,6.6385,19.9614,10.3278,
2001-01-30,,,,,,,5.998,,8.1428,14.7249,19.8868,14.2492,14.3454,6.6385,19.9208,10.3577,
2001-01-31,,,,,,,6.059,,8.2299,14.542,19.9313,13.8953,14.3834,6.5776,19.7988,10.6908,
2001-02-01,,,,,,,6.091,,8.1249,14.5618,19.6708,13.8879,14.5084,6.6574,20.0631,10.6758,
2001-02-02,,,,,,,6.0706,,8.2607,14.6013,19.6073,13.2769,14.6007,6.5839,19.8259,10.4737,
2001-02-05,,,,,,,6.1258,,8.4272,14.7002,19.7026,13.1949,14.5898,6.6322,19.8124,10.4139,
2001-02-06,,,,,,,6.0735,,8.4809,14.4136,19.7979,13.2732,14.655,6.6721,19.8327,10.4251,
2001-02-07,,,,,,,6.0735,,8.504,14.379,19.6263,12.9304,14.6822,6.6742,20.0224,10.4475,
2001-02-08,,,,,,,5.9922,,8.5501,14.3394,19.6009,12.7405,14.6387,6.7331,20.1444,10.1407,
2001-02-09,,,,,,,5.9864,,8.6884,14.3987,19.1371,12.1519,14.7582,6.7246,19.8191,10.0097,
2001-02-12,,33.0316,,,,,5.9864,,8.5732,14.6013,19.3595,12.2562,14.8832,6.7309,19.9818,10.2904,
2001-02-13,,32.0592,,,,,5.9689,,8.5552,14.5173,19.5628,12.0476,14.6822,6.7877,20.0021,10.4288,
